ndx	pdbpath	fxity	nclusts	aver_rmsd	nfrags
42	../scop40NR/d2dpla2.ent	0.5431034482758621	63	4.729905778166753	116
43	../scop40NR/d2dpya3.ent	0.3698630136986301	27	3.196402249080778	73
44	../scop40NR/d2ds5a_.ent	0.65	26	4.773075128849595	40
45	../scop40NR/d2dsma1.ent	0.7049180327868853	43	4.646942807025597	61
46	../scop40NR/d2dsrg1.ent	0.5526315789473685	42	4.643184837702032	76
47	../scop40NR/d1a8ra_.ent	0.3944954128440367	86	4.57943870928416	218
48	../scop40NR/d1abva_.ent	0.27450980392156865	28	2.5778287141220426	102
49	../scop40NR/d2dt4a_.ent	0.5428571428571428	76	4.219284479183202	140
50	../scop40NR/d2dt6a1.ent	0.3333333333333333	20	2.883947327526079	60
51	../scop40NR/d2dt7b1.ent	0.4691358024691358	38	4.062588734027908	81
52	../scop40NR/d2dy1a1.ent	0.61	61	4.335194311106205	100
53	../scop40NR/d2dy1a2.ent	0.32196969696969696	85	4.578012062325395	264
54	../scop40NR/d2dy1a4.ent	0.43243243243243246	32	4.7037807326897205	74
55	../scop40NR/d2dy8a1.ent	0.7272727272727273	48	4.8479553244878	66
56	../scop40NR/d2e1ba1.ent	0.7619047619047619	64	4.418178606415147	84
57	../scop40NR/d2e2dc2.ent	0.5397727272727273	95	4.542039945902503	176
58	../scop40NR/d2e2ra_.ent	0.452991452991453	106	4.182630002874176	234
59	../scop40NR/d2e6oa1.ent	0.36363636363636365	28	3.6472598094625726	77
60	../scop40NR/d1ac5a_.ent	0.3729166666666667	179	4.61568984717163	480
61	../scop40NR/d1acwa_.ent	0.5769230769230769	15	4.855069086396482	26
62	../scop40NR/d2e8ba_.ent	0.43956043956043955	80	4.516132126611445	182
63	../scop40NR/d2e9ka1.ent	0.4864864864864865	54	3.810552902879503	111
64	../scop40NR/d1ad2a_.ent	0.416289592760181	92	4.582775387436353	221
65	../scop40NR/d2ebba_.ent	0.3870967741935484	36	4.554053583552705	93
66	../scop40NR/d1af7a1.ent	0.41025641025641024	32	3.8789346262979163	78
67	../scop40NR/d1afpa_.ent	0.875	42	4.369485733978864	48
68	../scop40NR/d1ahla_.ent	0.9130434782608695	42	4.340438018336413	46
69	../scop40NR/d1aisa1.ent	0.5168539325842697	46	4.732865997628572	89
70	../scop40NR/d1aiwa_.ent	0.847457627118644	50	4.472571951909437	59
71	../scop40NR/d1akya2.ent	0.6857142857142857	24	4.619816958855609	35
72	../scop40NR/d1an4a1.ent	0.6065573770491803	37	3.725148786302857	61
73	../scop40NR/d1an9a2.ent	0.5444444444444444	49	4.598928894996643	90
74	../scop40NR/d1ansa_.ent	0.9166666666666666	22	4.034575550713473	24
75	../scop40NR/d1aoca_.ent	0.5872093023255814	101	4.673360531938123	172
76	../scop40NR/d2ebfx1.ent	0.3367003367003367	100	3.747794079796492	297
77	../scop40NR/d1aola_.ent	0.5377777777777778	121	4.624146314683961	225
78	../scop40NR/d2ebfx2.ent	0.4074074074074074	88	4.384878727809599	216
79	../scop40NR/d2ebfx3.ent	0.5026455026455027	95	4.643973142052981	189
80	../scop40NR/d2ebva1.ent	0.6170212765957447	29	4.367869952257643	47
81	../scop40NR/d2ecsa_.ent	0.43859649122807015	25	4.924749383727526	57
82	../scop40NR/d2ed6a1.ent	0.49101796407185627	82	4.415885032997716	167
83	../scop40NR/d2edua1.ent	0.3409090909090909	30	3.4072888803953103	88
84	../scop40NR/d2ee3a1.ent	0.6086956521739131	56	3.930049420586155	92
85	../scop40NR/d2efva1.ent	0.4810126582278481	38	4.225625166949735	79
86	../scop40NR/d2egha3.ent	0.4520547945205479	66	4.50151951431104	146
87	../scop40NR/d1aora1.ent	0.34438775510204084	135	4.472925111878821	392
88	../scop40NR/d2ehga_.ent	0.410958904109589	60	4.755344248485316	146
89	../scop40NR/d2ehza1.ent	0.5267175572519084	69	4.71423154236463	131
90	../scop40NR/d1aoza2.ent	0.5	103	4.338512975373865	206
91	../scop40NR/d2eiaa2.ent	0.3671875	47	3.3365285589716223	128
92	../scop40NR/d1aqea_.ent	0.5607476635514018	60	4.342179567457359	107
93	../scop40NR/d1aqta2.ent	0.6097560975609756	50	4.018577223604878	82
94	../scop40NR/d2ejqa1.ent	0.5096153846153846	53	4.458487669022523	104
95	../scop40NR/d2enda_.ent	0.40298507462686567	54	4.009244090442828	134
96	../scop40NR/d2eppa1.ent	0.78	39	4.497060088825226	50
97	../scop40NR/d2epra1.ent	0.71875	23	4.645820631005336	32
98	../scop40NR/d2eq9c_.ent	0.5675675675675675	21	4.224775276408742	37
99	../scop40NR/d2esna1.ent	0.37209302325581395	32	3.347940646784895	86
100	../scop40NR/d1asta_.ent	0.5126903553299492	101	5.410774459287406	197
101	../scop40NR/d2eufa2.ent	0.27184466019417475	28	2.9447422008935105	103
102	../scop40NR/d2ewla1.ent	0.5918367346938775	29	4.742445531622761	49
103	../scop40NR/d1atia1.ent	0.5	54	4.4803144592071265	108
104	../scop40NR/d2eyqa1.ent	0.7142857142857143	55	4.525527550149153	77
105	../scop40NR/d1auua_.ent	0.7692307692307693	40	4.610230162872012	52
106	../scop40NR/d1avgi_.ent	0.5899280575539568	82	4.361256044342012	139
107	../scop40NR/d1b0nb_.ent	0.35714285714285715	10	2.884997262334337	28
108	../scop40NR/d2eyqa5.ent	0.3798076923076923	79	4.359113673791124	208
109	../scop40NR/d1b25a2.ent	0.5072463768115942	105	4.7912978268505135	207
110	../scop40NR/d2eyqa6.ent	0.4645161290322581	72	4.3957441825698	155
111	../scop40NR/d1b33n_.ent	0.671875	43	4.624746817207779	64
112	../scop40NR/d2ezla_.ent	0.3645833333333333	35	3.393138981923888	96
113	../scop40NR/d2f0ca2.ent	0.5581395348837209	24	4.664245132129214	43
114	../scop40NR/d2f1ka1.ent	0.2543859649122807	29	2.3018548938472407	114
115	../scop40NR/d2f23a2.ent	0.618421052631579	47	4.524975770831603	76
116	../scop40NR/d2f2ab1.ent	0.3652173913043478	42	3.225161139329575	115
117	../scop40NR/d1b35b_.ent	0.5317460317460317	134	4.832410632690162	252
118	../scop40NR/d1b37a2.ent	0.5596330275229358	61	4.740165136715006	109
119	../scop40NR/d2f2ab2.ent	0.5296167247386759	152	4.681344180688466	287
120	../scop40NR/d2f2ha1.ent	0.6153846153846154	64	4.21917736979984	104
121	../scop40NR/d1b3ua_.ent	0.1076923076923077	63	2.536265306547061	585
122	../scop40NR/d1b74a2.ent	0.5902777777777778	85	4.569296772922332	144
123	../scop40NR/d1b79a_.ent	0.32323232323232326	32	3.1537835716489697	99
124	../scop40NR/d2f48a_.ent	0.3102189781021898	170	4.447822137547822	548
125	../scop40NR/d1b8wa_.ent	0.8717948717948718	34	4.364216786713133	39
126	../scop40NR/d2f4mb2.ent	0.2807017543859649	16	2.5658332119999976	57
127	../scop40NR/d1b9ra_.ent	0.6274509803921569	64	4.755515725669472	102
128	../scop40NR/d1b9wa2.ent	0.7317073170731707	30	4.960559850502127	41
129	../scop40NR/d1bb8a_.ent	0.5588235294117647	38	4.7960064961836	68
130	../scop40NR/d2f5ga_.ent	0.4409448818897638	56	4.765765606811939	127
131	../scop40NR/d1bb9a_.ent	0.6144578313253012	51	4.493107310381765	83
132	../scop40NR/d1bbga_.ent	0.7837837837837838	29	5.0181307896285965	37
133	../scop40NR/d2f5tx1.ent	0.6404494382022472	57	4.733230286698166	89
134	../scop40NR/d1bcoa1.ent	0.6233766233766234	48	6.757282421869982	77
135	../scop40NR/d2f5tx2.ent	0.5777777777777777	78	5.138666026440177	135
136	../scop40NR/d1bf2a1.ent	0.5974842767295597	95	4.561125473545434	159
137	../scop40NR/d2f5va2.ent	0.5025641025641026	98	4.594325339551195	195
138	../scop40NR/d2f69a1.ent	0.6266666666666667	47	4.442457127147251	75
139	../scop40NR/d2f6mb2.ent	0.2621359223300971	27	2.7770111908370154	103
140	../scop40NR/d2f77x_.ent	0.38144329896907214	37	3.6117299475066402	97
141	../scop40NR/d1bg1a2.ent	0.5219123505976095	131	4.772817257890565	251
142	../scop40NR/d1bg8a_.ent	0.3698630136986301	27	3.3457285744720204	73
143	../scop40NR/d1bgfa_.ent	0.2975206611570248	36	2.718068110663768	121
144	../scop40NR/d1bgka_.ent	0.7941176470588235	27	3.737303959044618	34
145	../scop40NR/d2fb5a1.ent	0.37373737373737376	74	4.274199424021698	198
146	../scop40NR/d2fbwc_.ent	0.25547445255474455	35	2.7201729097388054	137
147	../scop40NR/d2fc6a1.ent	0.8823529411764706	30	4.348230694662329	34
148	../scop40NR/d2fc7a1.ent	0.7424242424242424	49	4.55626202924083	66
149	../scop40NR/d2fdna_.ent	0.6779661016949152	40	4.768685768045115	59
150	../scop40NR/d2fe0a1.ent	0.6062992125984252	77	4.460938028389319	127
151	../scop40NR/d1bgva1.ent	0.38095238095238093	96	4.088937617694778	252
152	../scop40NR/d2fe3a_.ent	0.427536231884058	59	4.640317193980704	138
153	../scop40NR/d2fe5a1.ent	0.7311827956989247	68	4.920819101867434	93
154	../scop40NR/d2fefa1.ent	0.38524590163934425	47	3.749345954596692	122
155	../scop40NR/d1bgva2.ent	0.43455497382198954	83	4.435385984851094	191
156	../scop40NR/d1bh9a_.ent	0.30952380952380953	13	2.4572453358107142	42
157	../scop40NR/d1bhua_.ent	0.8484848484848485	84	4.567880032683085	99
158	../scop40NR/d1bi6h1.ent	0.9523809523809523	20	4.6768802298980505	21
159	../scop40NR/d1biaa2.ent	0.6590909090909091	29	4.071010640399023	44
160	../scop40NR/d1bl0a1.ent	0.45098039215686275	23	3.1318055519985264	51
161	../scop40NR/d1bl0a2.ent	0.5084745762711864	30	3.7218947080883	59
162	../scop40NR/d2ff4a2.ent	0.21022727272727273	37	2.6565168717354615	176
163	../scop40NR/d1blia2.ent	0.4484536082474227	174	4.504725092258936	388
164	../scop40NR/d1bm8a_.ent	0.53125	51	4.5219861650904125	96
165	../scop40NR/d1bmlc3.ent	0.6705882352941176	57	4.314374725925881	85
166	../scop40NR/d1bnda_.ent	0.5471698113207547	58	4.169953967273851	106
167	../scop40NR/d1boua_.ent	0.35658914728682173	46	3.3938325597647685	129
168	../scop40NR/d2fffb1.ent	0.3688888888888889	166	4.687314459000693	450
169	../scop40NR/d2ffta1.ent	0.85	68	4.296095615783706	80
170	../scop40NR/d2fhza1.ent	0.4625	37	4.658246507486329	80
171	../scop40NR/d2fi0a1.ent	0.5	38	3.8495079349581967	76
172	../scop40NR/d2fifb_.ent	0.30357142857142855	17	3.0659152570997876	56
173	../scop40NR/d2fj8a1.ent	0.6964285714285714	39	4.165710611858082	56
174	../scop40NR/d2fk4a1.ent	0.6935483870967742	43	4.7364311290054	62
175	../scop40NR/d2fl4a1.ent	0.4755244755244755	68	4.717709159489931	143
176	../scop40NR/d2fmpa1.ent	0.35443037974683544	28	3.013045239187819	79
177	../scop40NR/d2fmpa2.ent	0.48214285714285715	27	3.2479457747172185	56
178	../scop40NR/d2fo1d1.ent	0.2833333333333333	17	2.3399643526640204	60
179	../scop40NR/d1boub_.ent	0.43389830508474575	128	4.622602805056232	295
180	../scop40NR/d1bpoa1.ent	0.36363636363636365	56	3.4550665748747167	154
181	../scop40NR/d2foka4.ent	0.4473684210526316	85	4.505992620087066	190
182	../scop40NR/d2fona3.ent	0.2708333333333333	52	2.984126579235534	192
183	../scop40NR/d2fp1a_.ent	0.3614457831325301	60	3.927949178521559	166
184	../scop40NR/d2fqma1.ent	0.5483870967741935	34	4.875819639642951	62
185	../scop40NR/d1bu8a2.ent	0.4716417910447761	158	4.650477824243519	335
186	../scop40NR/d2fr1a2.ent	0.4854368932038835	100	4.656579384121485	206
187	../scop40NR/d1buoa_.ent	0.3728813559322034	44	4.247421966392105	118
188	../scop40NR/d1bw5a_.ent	0.5238095238095238	33	3.834601719933873	63
189	../scop40NR/d1bx7a_.ent	0.75	36	4.281398871654852	48
190	../scop40NR/d2fr5a_.ent	0.45864661654135336	61	4.751775965765114	133
191	../scop40NR/d1bxda_.ent	0.6329113924050633	100	4.799764452917876	158
192	../scop40NR/d1by1a1.ent	0.34146341463414637	70	3.0480023452698086	205
193	../scop40NR/d2fsya1.ent	0.4404332129963899	122	4.69427760389559	277
194	../scop40NR/d2ftxb1.ent	0.5	28	4.3745937360431615	56
195	../scop40NR/d2fuka1.ent	0.4883720930232558	105	4.70327966255778	215
196	../scop40NR/d2fvva1.ent	0.7518248175182481	103	4.999449842004048	137
197	../scop40NR/d2fxua2.ent	0.38288288288288286	85	4.362846851307455	222
198	../scop40NR/d2fz4a1.ent	0.47783251231527096	97	4.743036720280409	203
199	../scop40NR/d2fzfa1.ent	0.2838709677419355	44	3.0666439415326847	155
200	../scop40NR/d2fzpa1.ent	0.4426229508196721	54	4.403277596533378	122
201	../scop40NR/d2g30a2.ent	0.45454545454545453	50	4.722156854271889	110
202	../scop40NR/d2g3ma1.ent	0.6122448979591837	90	4.215436318470253	147
203	../scop40NR/d2g50a1.ent	0.83	83	4.604342609661818	100
204	../scop40NR/d2g64a1.ent	0.7142857142857143	100	5.188719798382752	140
205	../scop40NR/d2g77a1.ent	0.25773195876288657	50	3.0181650997668377	194
206	../scop40NR/d2g7ja1.ent	0.6422018348623854	70	4.70026147078358	109
207	../scop40NR/d2g7oa1.ent	0.27692307692307694	18	2.5557422761698447	65
208	../scop40NR/d2g80a1.ent	0.38288288288288286	85	4.808185459673888	222
209	../scop40NR/d2g9fa1.ent	0.480225988700565	85	4.53059934587292	177
210	../scop40NR/d2gdqa2.ent	0.45045045045045046	50	4.781859055133659	111
211	../scop40NR/d2gf5a2.ent	0.3670886075949367	29	3.2096828482048267	79
212	../scop40NR/d2ghfa3.ent	0.7636363636363637	42	4.616785960788569	55
213	../scop40NR/d2ghta_.ent	0.480225988700565	85	4.62326357012799	177
214	../scop40NR/d1by5a_.ent	0.2968299711815562	206	4.283893860675459	694
215	../scop40NR/d2gi4a1.ent	0.5202702702702703	77	4.441619966349206	148
216	../scop40NR/d2giab1.ent	0.5034965034965035	72	4.834899409100668	143
217	../scop40NR/d1c02a_.ent	0.31901840490797545	52	3.294383805496561	163
218	../scop40NR/d1c0pa2.ent	0.5978260869565217	55	4.529829311545495	92
219	../scop40NR/d2giya1.ent	0.5176470588235295	88	4.435277430118162	170
220	../scop40NR/d1c1da2.ent	0.46206896551724136	67	4.658626726705594	145
221	../scop40NR/d2gjva1.ent	0.42748091603053434	56	4.630728997435577	131
222	../scop40NR/d2gkea2.ent	0.5035460992907801	71	4.7333360467780485	141
223	../scop40NR/d1c1ka_.ent	0.2757009345794392	59	3.4647806673423363	214
223	../scop40NR/d2gmha3.ent	0.6767676767676768	67	5.007862769229207	99
225	../scop40NR/d2gnca1.ent	0.7142857142857143	35	4.333272215030135	49
226	../scop40NR/d1c3ka_.ent	0.5642857142857143	79	4.684142460972071	140
227	../scop40NR/d2gq0a_.ent	0.38735177865612647	98	4.5206985000401225	253
228	../scop40NR/d2gqba1.ent	0.5433070866141733	69	4.290186544832807	127
229	../scop40NR/d2gqwa3.ent	0.651685393258427	58	4.735458368229273	89
230	../scop40NR/d2gr7a1.ent	0.30612244897959184	30	5.055093000703854	98
231	../scop40NR/d2grga1.ent	0.6170212765957447	58	4.60803662790951	94
232	../scop40NR/d2gria1.ent	0.6697247706422018	73	4.665904461221255	109
233	../scop40NR/d1c3pa_.ent	0.4010840108401084	148	4.438070897988231	369
234	../scop40NR/d1c48a_.ent	0.6417910447761194	43	5.442394204210348	67
235	../scop40NR/d2grrb_.ent	0.2727272727272727	42	3.328010022586821	154
236	../scop40NR/d2gtlm1.ent	0.5867768595041323	71	4.169703161331337	121
237	../scop40NR/d2gtlm2.ent	0.8205128205128205	32	4.10572472095176	39
238	../scop40NR/d2gu0a1.ent	0.4172661870503597	58	4.2142265709137785	139
239	../scop40NR/d2gu3a2.ent	0.6774193548387096	42	4.806414563925966	62
240	../scop40NR/d2guda1.ent	0.5508474576271186	65	4.207094668166985	118
241	../scop40NR/d2gw9a_.ent	0.6551724137931034	19	4.254640421175645	29
242	../scop40NR/d2gysa1.ent	0.57	57	4.251544323813915	100
243	../scop40NR/d2gz4a1.ent	0.30456852791878175	60	3.7996529548739795	197
244	../scop40NR/d1c4za_.ent	0.4207492795389049	146	4.358402375282052	347
245	../scop40NR/d2gzta_.ent	0.4513888888888889	65	4.808101104997116	144
246	../scop40NR/d1c52a_.ent	0.5	64	4.204953681104598	128
247	../scop40NR/d2h3na_.ent	0.6145833333333334	59	4.274378217245815	96
248	../scop40NR/d1c5ea_.ent	0.7065217391304348	65	5.086944672485043	92
249	../scop40NR/d1c7ka_.ent	0.5116279069767442	66	4.58407068487171	129
250	../scop40NR/d1c8ua1.ent	0.4144144144144144	46	4.6908040613543145	111
251	../scop40NR/d1c8za_.ent	0.5338078291814946	150	4.687482740007692	281
252	../scop40NR/d2h4ta3.ent	0.30295566502463056	123	4.238331630952737	406
253	../scop40NR/d2h5na1.ent	0.3076923076923077	40	3.7293815392573206	130
254	../scop40NR/d1ca1a1.ent	0.2967479674796748	73	3.332123600681757	246
255	../scop40NR/d2h7aa1.ent	0.7238095238095238	76	4.442337869970706	105
256	../scop40NR/d2h7ta1.ent	0.7475728155339806	77	4.5022307415127205	103
257	../scop40NR/d2h88b1.ent	0.625	65	4.563285697474745	104
258	../scop40NR/d2h8ea_.ent	0.47863247863247865	56	4.681578043129561	117
259	../scop40NR/d1cb8a3.ent	0.5440613026819924	142	4.437509219085346	261
260	../scop40NR/d2h8ga_.ent	0.40329218106995884	98	4.6821228227240725	243
261	../scop40NR/d1cbua_.ent	0.3954802259887006	70	4.455534971521551	177
262	../scop40NR/d2h92a_.ent	0.3755868544600939	80	4.287779535733423	213
263	../scop40NR/d1cbya_.ent	0.4017857142857143	90	4.872490666390335	224
264	../scop40NR/d1cfea_.ent	0.5681818181818182	75	4.6984879510123125	132
265	../scop40NR/d2hafa1.ent	0.5747126436781609	100	4.592501992579022	174
266	../scop40NR/d2haha_.ent	0.7107438016528925	86	4.598236939040912	121
267	../scop40NR/d2hbaa1.ent	0.6326530612244898	31	4.450308772138336	49
268	../scop40NR/d1cfra_.ent	0.33214285714285713	93	4.305547153328222	280
269	../scop40NR/d1cida1.ent	0.696078431372549	71	4.076954335959679	102
270	../scop40NR/d2hbja2.ent	0.4013840830449827	116	4.480098593446756	289
271	../scop40NR/d2hbwa1.ent	0.7901234567901234	64	4.692875370076655	81
272	../scop40NR/d2hc5a1.ent	0.49523809523809526	52	4.440665024694672	105
273	../scop40NR/d1cjxa2.ent	0.4623115577889447	92	4.796087482626313	199
274	../scop40NR/d1ckma1.ent	0.5697674418604651	49	4.612748875512891	86
275	../scop40NR/d2hd9a1.ent	0.4788732394366197	68	4.556963264792891	142
276	../scop40NR/d1ckma2.ent	0.4177777777777778	94	4.621701117344845	225
277	../scop40NR/d1ckqa_.ent	0.40310077519379844	104	4.6964129614451515	258
278	../scop40NR/d2heka1.ent	0.30601092896174864	112	4.045693858794539	366
279	../scop40NR/d2hf5a1.ent	0.5666666666666667	17	3.624351245098644	30
280	../scop40NR/d2hfgr_.ent	0.7916666666666666	19	3.96611045839058	24
281	../scop40NR/d2hfna_.ent	0.4794520547945205	70	4.725032595346101	146
282	../scop40NR/d2hfqa1.ent	0.5609756097560976	46	4.685249253655388	82
283	../scop40NR/d2hfva1.ent	0.6527777777777778	47	4.585027262648959	72
284	../scop40NR/d2hg6a1.ent	0.5728155339805825	59	4.637971531435776	103
285	../scop40NR/d2hg7a1.ent	0.6140350877192983	35	4.525604088339816	57
286	../scop40NR/d2hgaa1.ent	0.62	62	4.38673753438592	100
287	../scop40NR/d2hgca1.ent	0.52	39	4.3040739025539825	75
288	../scop40NR/d2hgka1.ent	0.4528301886792453	48	3.592517335162803	106
289	../scop40NR/d2hh8a1.ent	0.49193548387096775	61	4.620899357884332	124
290	../scop40NR/d2hhpa1.ent	0.4864864864864865	72	4.648621475816568	148
291	../scop40NR/d2hhpa2.ent	0.565	113	4.997982018633187	200
292	../scop40NR/d1clca1.ent	0.365296803652968	160	4.1497978809601515	438
293	../scop40NR/d1cmra_.ent	0.8214285714285714	23	4.599308448178427	28
294	../scop40NR/d2hi2a_.ent	0.5194805194805194	80	4.585942137295901	154
295	../scop40NR/d2hj1a1.ent	0.782051282051282	61	4.796681378759263	78
296	../scop40NR/d1cmwa6.ent	0.6460176991150443	73	4.301339093670138	113
297	../scop40NR/d1cnna_.ent	0.9130434782608695	21	5.223736211234996	23
298	../scop40NR/d1co4a_.ent	0.8717948717948718	34	4.865184329670562	39
299	../scop40NR/d2hj2a1.ent	0.5233644859813084	56	4.82521139487334	107
300	../scop40NR/d2hj2a2.ent	0.5806451612903226	72	5.201777291884423	124
301	../scop40NR/d1cola_.ent	0.25257731958762886	49	2.686089887413706	194
302	../scop40NR/d2hj2a3.ent	0.6312056737588653	89	4.837042278740633	141
303	../scop40NR/d2hjja1.ent	0.7142857142857143	45	4.718609407330136	63
304	../scop40NR/d2hkea1.ent	0.5485714285714286	96	4.927352828391718	175
305	../scop40NR/d2hkja1.ent	0.37333333333333335	28	3.7698487861474357	75
306	../scop40NR/d1cq3a_.ent	0.4841628959276018	107	4.244517769804946	221
307	../scop40NR/d1ct7a1.ent	0.9347826086956522	43	4.8898556908497515	46
308	../scop40NR/d1cuka2.ent	0.37333333333333335	28	3.239713359514872	75
309	../scop40NR/d2hkja2.ent	0.453416149068323	73	4.793047113663197	161
310	../scop40NR/d2hkja3.ent	0.4212962962962963	91	4.7969471825630405	216
311	../scop40NR/d2hl0a_.ent				
312	../scop40NR/d2hmza_.ent	0.35454545454545455	39	3.013367837697021	110
313	../scop40NR/d2hnua_.ent	0.6794871794871795	53	4.666545249800945	78
314	../scop40NR/d2hp8a_.ent	0.36923076923076925	24	2.936870744157825	65
315	../scop40NR/d2hpua1.ent	0.6341463414634146	78	4.730487119555434	123
316	../scop40NR/d1cvra2.ent	0.42939481268011526	149	4.626794342159362	347
317	../scop40NR/d1cwva5.ent	0.7010309278350515	68	4.4956413440692184	97
318	../scop40NR/d2hqsa2.ent	0.4632352941176471	63	4.663614420493369	136
319	../scop40NR/d2hqxa1.ent	0.5287356321839081	46	4.628647212985958	87
320	../scop40NR/d1cx1a1.ent	0.7364864864864865	109	4.20048755869117	148
321	../scop40NR/d2hqya1.ent	0.49382716049382713	80	4.907137994695783	162
322	../scop40NR/d1cyxa_.ent	0.45806451612903226	71	4.749490924093651	155
323	../scop40NR/d1cz4a1.ent	0.5909090909090909	52	4.60827350826195	88
324	../scop40NR/d2hr7a2.ent	0.618421052631579	94	4.590763564856202	152
325	../scop40NR/d1cz4a2.ent	0.7362637362637363	67	4.562763419377028	91
326	../scop40NR/d2hrkb_.ent	0.3305084745762712	39	3.4253809639552104	118
327	../scop40NR/d1czsa_.ent	0.6496815286624203	102	4.308855609410848	157
328	../scop40NR/d2hrva_.ent	0.5882352941176471	80	4.466436797382381	136
329	../scop40NR/d2huga2.ent	0.7307692307692307	38	4.770331552307281	52
330	../scop40NR/d1d02a_.ent	0.4381443298969072	85	4.458430249107379	194
331	../scop40NR/d1d0qa_.ent	0.47474747474747475	47	4.555222237065135	99
332	../scop40NR/d1d1na_.ent	0.6979166666666666	67	4.270034117255515	96
333	../scop40NR/d1d1ra1.ent	0.6538461538461539	51	4.69483559961228	78
334	../scop40NR/d2hzga2.ent	0.47232472324723246	128	4.592825108401011	271
335	../scop40NR/d1d2zb_.ent	0.38095238095238093	56	3.9361652926467694	147
336	../scop40NR/d1d3bb_.ent	0.6282051282051282	49	4.4900615032882305	78
337	../scop40NR/d1d4ba1.ent	0.7168141592920354	81	4.44733761160065	113
338	../scop40NR/d1d5ya2.ent	0.5161290322580645	32	3.9444320359258573	62
339	../scop40NR/d1d6ga_.ent	0.8636363636363636	38	4.66010110517425	44
340	../scop40NR/d1d7la2.ent	0.494949494949495	49	4.605931348468489	99
341	../scop40NR/d1d7qa_.ent	0.7142857142857143	100	4.553008727905701	140
342	../scop40NR/d1d8ba_.ent	0.38461538461538464	30	3.2810098631093174	78
343	../scop40NR/d2i00a2.ent	0.3819444444444444	110	4.704119274587468	288
344	../scop40NR/d1d9ta_.ent	0.44912280701754387	128	4.549219214875135	285
345	../scop40NR/d2i06a_.ent	0.36423841059602646	110	4.665591654591375	302
346	../scop40NR/d2i2t11.ent	0.851063829787234	40	3.9988164618955366	47
347	../scop40NR/d2i2wa_.ent	0.3915343915343915	74	4.066223409982248	189
